"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"Australian Federal Police","59110544753",30591.44,"Procurement of camera equipment","Limited tender","Security cameras","Security cameras",1,30591.44,30591.44,0,0,"SECURITY & TECHNOLOGY SERVICES"
"Department of Immigration and Citizenship","59110544753",2026200,"Rental & Maintenance of Security Equipment - PVIDC","Prequalified tender","Lease and rental of property or building","Security and personal safety",7,2788961.06,595175.62,0,2193785.44,"SECURITY & TECHNOLOGY SERVICES"
"Department of Finance and Deregulation","59125710394",45600000,"Canberra data centres consortium lease","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,45600000,0,45600000,0,"Canberra Data Centres Pty Ltd"
"Australian Crime Commission","59125710394",75000,"Electricity","Limited tender","Utilities","Utilities",1,75000,75000,0,0,"Canberra Data Centres Pty Ltd"
"Department of Industry, Innovation, Science, Research and Tertiary Education","59125710394",29227.19,"IBM XIV Installation","Limited tender","Computer hardware maintenance or support","Computer hardware maintenance or support",1,29227.19,29227.19,0,0,"Canberra Data Centres Pty Ltd"
"Department of Human Services","59125710394",223661331,"Lease at Hume Data Centre, ACT","Open tender","Lease and rental of property or building","Computer Equipment and Accessories",4,224057837.68,0,224057837.68,0,"Canberra Data Centres Pty Ltd"
"Department of Broadband Communications and the Digital Economy","59125710394",1519080.67,"Data Centre facilites","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,1519080.67,0,1519080.67,0,"Canberra Data Centres Pty Ltd"
"Australian National Audit Office (ANAO)","59125710394",650771.29,"Data Centre Lease Costs","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,650771.29,0,650771.29,0,"Canberra Data Centres Pty Ltd"
"IP Australia","59125710394",35235.37,"Data Centre Space 02 (Disaster Recovery Project)","Open tender","Property management services","Property management services",1,35235.37,0,35235.37,0,"Canberra Data Centres Pty Ltd"
"Geoscience Australia","59293373687",338620.7,"Supply, installation and commissioning of a 2.4m dual X/L band satellite tracking antenna","Open tender","Software","Software",2,413712.2,0,413712.2,0,"Environmental Systems & Services"
"Bureau of Meteorology","59293373687",748939.7,"Radar Equipment","Limited tender","Measuring and observing and testing instruments","Education and Training Services",2,766924.7,766924.7,0,0,"Environmental Systems & Services"
"Defence Materiel Organisation","59698720886",1815000,"Flight Inspection Services","Limited tender","Security surveillance and detection","Electrical equipment and components and supplies",10,3149229.06,2337881.16,0,811347.9,"AIRSERVICES AUSTRALIA"
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division","59698720886",18000,"Aerodrome Procedure deisgn","Limited tender","Runway","Runway",1,18000,18000,0,0,"AIRSERVICES AUSTRALIA"
"Department of Defence","59698720886",1339800,"Provision of Air Traffic Control and Notice to Air Force","Limited tender","Public order and safety","Printed publications",10,2218021.2,1708021.2,70000,440000,"AIRSERVICES AUSTRALIA"
"Australian Customs and Border Protection Service","59698720886",13370.57,"CMO027027 - Property Rent","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,13370.57,13370.57,0,0,"AIRSERVICES AUSTRALIA"
"Department of Resources Energy and Tourism","59698720886",70000,"Rent on premises at 25 Constitution through Airservices","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,70000,70000,0,0,"AIRSERVICES AUSTRALIA"
"Department of Foreign Affairs and Trade","59863426362",20944.56,"Provision of Components for Information Technology or Broadcasting or Telecommunications","Limited tender","Components for information technology or broadcasting or telecommunications","Components for information technology or broadcasting or telecommunications",1,20944.56,20944.56,0,0,"QUEST SOFTWARE INTERNATIONAL LIMITED"
"Department of Defence","59863426362",3135000,"Software","Limited tender","Software","Software",2,3161247.48,3161247.48,0,0,"QUEST SOFTWARE INTERNATIONAL LIMITED"
"Department of Industry, Innovation, Science, Research and Tertiary Education","59863426362",16500,"Quest Migration Manager for Exchange (QMMEX) Health check","Limited tender","Software maintenance and support","Maintenance or support fees",2,26829.75,26829.75,0,0,"QUEST SOFTWARE INTERNATIONAL LIMITED"
"Australian Prudential Regulation Authority (APRA)","59863426362",29620.98,"QUEST SOFTWARE MAINTENANCE 30-6-12 TO 30-6-13","Limited tender","Software","Software",1,29620.98,29620.98,0,0,"QUEST SOFTWARE INTERNATIONAL LIMITED"
"Department of Veterans' Affairs","59863426362",16058.88,"Litespeed Enterprise SQL Ser/Nav Oracle","Limited tender","Software","Software",1,16058.88,16058.88,0,0,"QUEST SOFTWARE INTERNATIONAL LIMITED"
"Australian Electoral Commission","59962540635",12888000,"Lease for WA State Office (including divisions: Curtain, Hasluck, Perth/Stirling/Swan/Tangney)","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,12888000,12888000,0,0,"The Perth Diocesan Trust"
"Defence Materiel Organisation","60000161106",115965.82,"Lathe Engines Floor Mounted","Limited tender","Tools and General Machinery","Tools and General Machinery",5,282549.82,282549.82,0,0,"600 MACHINE TOOLS PTY LTD"
"Department of Defence","60000161106",688443.76,"Tools and Hardware","Limited tender","Hardware","Hardware",3,825436.44,825436.44,0,0,"600 MACHINE TOOLS PTY LTD"
"Department of Industry, Innovation, Science, Research and Tertiary Education","60000161106",27500,"Lathe for Questacon Technology Learning Centre","Limited tender","Tools and General Machinery","Tools and General Machinery",1,27500,27500,0,0,"600 MACHINE TOOLS PTY LTD"
"Department of Defence","60000263678",429922.9,"Construction Works","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",14,1365517.8,192826.31,496488.79,676202.7,"THOMAS & COFFEY LTD"
"Department of Sustainability, Environment, Water, Population and Communities","60001179362",11440,"Evaluation of the State of the Environment 2011 Report","Limited tender","Live animals","Live animals",1,11440,11440,0,0,"GODDEN MACKAY LOGAN"
"Department of Finance and Deregulation","60001179362",68486,"Heritage Peer Review Services for the Moorebank Intermodal Terminal Project","Open tender","Environmental management","Environmental management",1,68486,0,68486,0,"GODDEN MACKAY LOGAN"
"Department of Immigration and Citizenship","60001179362",135630,"Strategic planning consultation services - VIDC","Limited tender","Strategic planning consultation services","Strategic planning consultation services",1,135630,135630,0,0,"GODDEN MACKAY LOGAN"
"National Capital Authority","60001179362",41552.5,"Preparation of a Heritage Management Plan to meet EPBC Act requirements","Prequalified tender","Cultural heritage preservation or promotion services","Cultural heritage preservation or promotion services",1,41552.5,0,0,41552.5,"GODDEN MACKAY LOGAN"
"Old Parliament House","60001179362",17188.6,"conservation and heritage services - survey and document windows and doors.","Open tender","Building support services","Building support services",2,33438.6,0,33438.6,0,"GODDEN MACKAY LOGAN"
"Department of Defence","60001179362",242000,"Prepare a heritage management plan","Open tender","Cultural heritage preservation or promotion services","Cultural heritage preservation or promotion services",13,1014324.36,137301.62,848797.84,28224.9,"GODDEN MACKAY LOGAN"
"Australian Customs and Border Protection Service","60061630046",30357.8,"113868 - Provision of Construction Services","Prequalified tender","Refurbishing services","Refurbishing services",1,30357.8,0,0,30357.8,"COX ASSET SERVICES"
"Department of Defence","60061630046",1575387,"Security Upgrade to Facilities","Limited tender","Project management","Building construction and support and maintenance and repair services",10,2499916.46,1904002.1,34585.1,561329.26,"COX ASSET SERVICES"
"Department of Defence","60082594563",103174582.5,"Redevelopment of Greenbank Training Area","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",15,150694508.72,0,150694508.72,0,"ST HILLIERS CONSTRUCTION PTY LTD"
"Attorney-General's Department","60082594563",1901796.6,"Building Fitout","Limited tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",3,2043369.78,2043369.78,0,0,"ST HILLIERS CONSTRUCTION PTY LTD"
"Department of Defence","60082978514",24612.5,"Facility Service Visit","Limited tender","Maintenance or support fees","Maintenance or support fees",1,24612.5,24612.5,0,0,"MEGGITT TRAINING SYSTEMS AUSTRALIA"
"Defence Materiel Organisation","60082978514",7654926.79,"WEAPONS TRAINING SIMULATORS","Limited tender","Arms and ammunition accessories","Arms and ammunition accessories",8,12805598.99,12536098.99,0,269500,"MEGGITT TRAINING SYSTEMS AUSTRALIA"
"Defence Materiel Organisation","60088233783",1347324,"Fire Fightning Ensemble, Trouser's Fireman's and Coat's Fireman's for Navy RAAF and Army.","Open tender","Clothing","Clothing",1,1347324,0,1347324,0,"Pac Fire Australia"
"Department of Defence","60088233783",30632.25,"High Visibility Traffic Beacons and Fittings","Limited tender","Security and control equipment","Security and control equipment",1,30632.25,30632.25,0,0,"Pac Fire Australia"
"Defence Materiel Organisation","60096776939",1525881.23,"Individual Combat Load Carrage Equipment Disruptive Print Combat Uniform ICLCE DPCU - Vest Chest Webbing SystemS/M/LGrenade CarrierHolster PistolPocket Ammunition 2x Magazine","Limited tender","Luggage and handbags and packs and cases","Camping and outdoor equipment and accessories",7,3511734.75,1525881.23,1985853.52,0,"HUNTERS EDGE"
"AusAid","60103121464",119548,"Business analyst for travel process reform","Limited tender","Software maintenance and support","Software maintenance and support",1,119548,119548,0,0,"AUREC PTY LTD"
"Department of Education Employment and Workplace Relations","60103121464",177848,"ICT contractor services- Business Analyst","Open tender","Application implementation services","Application implementation services",1,177848,0,177848,0,"AUREC PTY LTD"
